local_government_code,postal_code_5digit,postal_code_7digit,prefecture_kana,address1_kana,address2_kana,prefecture_kanji,address1_kanji,address2_kanji,is_address2_has_multiple_postal_code,is_address2_has_multiple_sublocality,is_address2_includes_chome,is_postal_code_has_multiple_address2,updated_type,updated_reason_type
13106,110  ,1100000,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,東京都,台東区,以下に掲載がない場合,0,0,0,0,0,0
13106,110  ,1100001,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ﾔﾅｶ,東京都,台東区,谷中,0,0,1,0,0,0
13106,110  ,1100002,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ｳｴﾉｻｸﾗｷﾞ,東京都,台東区,上野桜木,0,0,1,0,0,0
13106,110  ,1100003,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ﾈｷﾞｼ,東京都,台東区,根岸,0,0,1,0,0,0
13106,110  ,1100004,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ｼﾀﾔ,東京都,台東区,下谷,0,0,1,0,0,0
13106,110  ,1100005,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ｳｴﾉ,東京都,台東区,上野,0,0,1,0,0,0
13106,110  ,1100006,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ｱｷﾊﾊﾞﾗ,東京都,台東区,秋葉原,0,0,0,0,0,0
13106,110  ,1100007,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ｳｴﾉｺｳｴﾝ,東京都,台東区,上野公園,0,0,0,0,0,0
13106,110  ,1100008,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ｲｹﾉﾊﾀ,東京都,台東区,池之端,0,0,1,0,0,0
13106,110  ,1100011,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ﾐﾉﾜ,東京都,台東区,三ノ輪,0,0,1,0,0,0
13106,110  ,1100012,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ﾘｭｳｾﾝ,東京都,台東区,竜泉,0,0,1,0,0,0
13106,110  ,1100013,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ｲﾘﾔ,東京都,台東区,入谷,0,0,1,0,0,0
13106,110  ,1100014,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ｷﾀｳｴﾉ,東京都,台東区,北上野,0,0,1,0,0,0
13106,110  ,1100015,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ﾋｶﾞｼｳｴﾉ,東京都,台東区,東上野,0,0,1,0,0,0
13106,110  ,1100016,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ﾀｲﾄｳ,東京都,台東区,台東,0,0,1,0,0,0
13106,111  ,1110021,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ﾆﾎﾝﾂﾞﾂﾐ,東京都,台東区,日本堤,0,0,1,0,0,0
13106,111  ,1110022,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ｷﾖｶﾜ,東京都,台東区,清川,0,0,1,0,0,0
13106,111  ,1110023,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ﾊｼﾊﾞ,東京都,台東区,橋場,0,0,1,0,0,0
13106,111  ,1110024,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ｲﾏﾄﾞ,東京都,台東区,今戸,0,0,1,0,0,0
13106,111  ,1110025,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ﾋｶﾞｼｱｻｸｻ,東京都,台東区,東浅草,0,0,1,0,0,0
13106,111  ,1110031,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ｾﾝｿﾞｸ,東京都,台東区,千束,0,0,1,0,0,0
13106,111  ,1110032,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ｱｻｸｻ,東京都,台東区,浅草,0,0,1,0,0,0
13106,111  ,1110033,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ﾊﾅｶﾜﾄﾞ,東京都,台東区,花川戸,0,0,1,0,0,0
13106,111  ,1110034,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ｶﾐﾅﾘﾓﾝ,東京都,台東区,雷門,0,0,1,0,0,0
13106,111  ,1110035,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ﾆｼｱｻｸｻ,東京都,台東区,西浅草,0,0,1,0,0,0
13106,111  ,1110036,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ﾏﾂｶﾞﾔ,東京都,台東区,松が谷,0,0,1,0,0,0
13106,111  ,1110041,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ﾓﾄｱｻｸｻ,東京都,台東区,元浅草,0,0,1,0,0,0
13106,111  ,1110042,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,ｺﾄﾌﾞｷ,東京都,台東区,寿,0,0,1,0,0,0
