local_government_code,postal_code_5digit,postal_code_7digit,prefecture_kana,address1_kana,address2_kana,prefecture_kanji,address1_kanji,address2_kanji,is_address2_has_multiple_postal_code,is_address2_has_multiple_sublocality,is_address2_includes_chome,is_postal_code_has_multiple_address2,updated_type,updated_reason_type
05201,010  ,0100000,ｱｷﾀｹﾝ,ｱｷﾀｼ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,秋田県,秋田市,以下に掲載がない場合,0,0,0,0,0,0
05201,010  ,0100001,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾅｶﾄﾞｵﾘ,秋田県,秋田市,中通,0,0,1,0,0,0
05201,010  ,0100002,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾋｶﾞｼﾄﾞｵﾘﾅｶﾏﾁ,秋田県,秋田市,東通仲町,0,0,0,0,0,0
05201,010  ,0100003,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾋｶﾞｼﾄﾞｵﾘ,秋田県,秋田市,東通,0,0,1,0,0,0
05201,010  ,0100004,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾋｶﾞｼﾄﾞｵﾘｶﾝﾉﾝﾏｴ,秋田県,秋田市,東通観音前,0,0,0,0,0,0
05201,010  ,0100005,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾋｶﾞｼﾄﾞｵﾘﾐｮｳﾃﾞﾝ,秋田県,秋田市,東通明田,0,0,0,0,0,0
05201,010  ,0100006,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾋｶﾞｼﾄﾞｵﾘﾀﾃﾉｺｼ,秋田県,秋田市,東通館ノ越,0,0,0,0,0,0
05201,010  ,0100011,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾐﾅﾐﾄﾞｵﾘｶﾒﾉﾁｮｳ,秋田県,秋田市,南通亀の町,0,0,0,0,0,0
05201,010  ,0100012,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾐﾅﾐﾄﾞｵﾘﾐｿﾉﾏﾁ,秋田県,秋田市,南通みその町,0,0,0,0,0,0
05201,010  ,0100013,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾐﾅﾐﾄﾞｵﾘﾂｷｼﾞ,秋田県,秋田市,南通築地,0,0,0,0,0,0
05201,010  ,0100014,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾐﾅﾐﾄﾞｵﾘﾐﾔﾀ,秋田県,秋田市,南通宮田,0,0,0,0,0,0
05201,010  ,0100021,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾅﾗﾔﾏﾉﾎﾞﾘﾏﾁ,秋田県,秋田市,楢山登町,0,0,0,0,0,0
05201,010  ,0100022,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾅﾗﾔﾏﾐﾅﾐﾅｶﾁｮｳ,秋田県,秋田市,楢山南中町,0,0,0,0,0,0
05201,010  ,0100023,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾅﾗﾔﾏﾎﾝﾁｮｳ,秋田県,秋田市,楢山本町,0,0,0,0,0,0
05201,010  ,0100024,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾅﾗﾔﾏﾐﾅﾐｼﾝﾏﾁｶﾐﾁｮｳ,秋田県,秋田市,楢山南新町上丁,0,0,0,0,0,0
05201,010  ,0100025,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾅﾗﾔﾏｻﾀｹﾏﾁ,秋田県,秋田市,楢山佐竹町,0,0,0,0,0,0
05201,010  ,0100026,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾅﾗﾔﾏﾌﾙｶﾜｼﾝﾏﾁ,秋田県,秋田市,楢山古川新町,0,0,0,0,0,0
05201,010  ,0100027,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾅﾗﾔﾏﾐﾅﾐｼﾝﾏﾁｼﾓﾁｮｳ,秋田県,秋田市,楢山南新町下丁,0,0,0,0,0,0
05201,010  ,0100028,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾅﾗﾔﾏｷｮｳﾜﾏﾁ,秋田県,秋田市,楢山共和町,0,0,0,0,0,0
05201,010  ,0100029,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾅﾗﾔﾏｶﾜｸﾞﾁｻｶｲ,秋田県,秋田市,楢山川口境,0,0,0,0,0,0
05201,010  ,0100031,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾅﾗﾔﾏｵｵﾓﾄﾏﾁ,秋田県,秋田市,楢山大元町,0,0,0,0,0,0
05201,010  ,0100032,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾅﾗﾔﾏｵｵﾀﾏﾁ,秋田県,秋田市,楢山太田町,0,0,0,0,0,0
05201,010  ,0100033,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾅﾗﾔﾏｲｼﾂﾞｶﾁｮｳ,秋田県,秋田市,楢山石塚町,0,0,0,0,0,0
05201,010  ,0100034,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾅﾗﾔﾏ,秋田県,秋田市,楢山,0,1,0,0,0,0
05201,010  ,0100035,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾅﾗﾔﾏｼﾞｮｳﾅﾝﾏﾁ,秋田県,秋田市,楢山城南町,0,0,0,0,0,0
05201,010  ,0100036,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾅﾗﾔﾏｷﾝｼｮｳﾏﾁ,秋田県,秋田市,楢山金照町,0,0,0,0,0,0
05201,010  ,0100037,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾅﾗﾔﾏｱﾀｺﾞｼﾀ,秋田県,秋田市,楢山愛宕下,0,0,0,0,0,0
05201,010  ,0100038,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾅﾗﾔﾏｼﾞｮｳﾅﾝｼﾝﾏﾁ,秋田県,秋田市,楢山城南新町,0,0,0,0,0,0
05201,010  ,0100041,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾋﾛｵﾓﾃ,秋田県,秋田市,広面,0,1,0,0,0,0
05201,010  ,0100042,ｱｷﾀｹﾝ,ｱｷﾀｼ,ｻｸﾗ,秋田県,秋田市,桜,0,0,1,0,0,0
05201,010  ,0100043,ｱｷﾀｹﾝ,ｱｷﾀｼ,ｻｸﾗｶﾞｵｶ,秋田県,秋田市,桜ガ丘,0,0,1,0,0,0
05201,010  ,0100044,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾖｺﾓﾘ,秋田県,秋田市,横森,0,0,1,0,0,0
05201,010  ,0100051,ｱｷﾀｹﾝ,ｱｷﾀｼ,ｼﾓｷﾀﾃﾏﾂｻｷ,秋田県,秋田市,下北手松崎,0,1,0,0,0,0
05201,010  ,0100052,ｱｷﾀｹﾝ,ｱｷﾀｼ,ｼﾓｷﾀﾃﾔﾅｷﾞﾀﾃ,秋田県,秋田市,下北手柳館,0,1,0,0,0,0
05201,010  ,0100053,ｱｷﾀｹﾝ,ｱｷﾀｼ,ｼﾓｷﾀﾃｻﾑｶﾜ,秋田県,秋田市,下北手寒川,0,1,0,0,0,0
05201,010  ,0100054,ｱｷﾀｹﾝ,ｱｷﾀｼ,ｼﾓｷﾀﾃﾀｶﾗｶﾜ,秋田県,秋田市,下北手宝川,0,1,0,0,0,0
05201,010  ,0100055,ｱｷﾀｹﾝ,ｱｷﾀｼ,ｼﾓｷﾀﾃﾄｵﾘｻﾜ,秋田県,秋田市,下北手通沢,0,1,0,0,0,0
05201,010  ,0100056,ｱｷﾀｹﾝ,ｱｷﾀｼ,ｼﾓｷﾀﾃｸﾛｶﾜ,秋田県,秋田市,下北手黒川,0,1,0,0,0,0
05201,010  ,0100057,ｱｷﾀｹﾝ,ｱｷﾀｼ,ｼﾓｷﾀﾃﾅｼﾋﾗ,秋田県,秋田市,下北手梨平,0,1,0,0,0,0
05201,010  ,0100058,ｱｷﾀｹﾝ,ｱｷﾀｼ,ｼﾓｷﾀﾃｻｸﾗ,秋田県,秋田市,下北手桜,0,1,0,0,0,0
05201,010  ,0100059,ｱｷﾀｹﾝ,ｱｷﾀｼ,ｻｸﾗﾀﾞｲ,秋田県,秋田市,桜台,0,0,1,0,0,0
05201,010  ,0100061,ｱｷﾀｹﾝ,ｱｷﾀｼ,ｵﾛｼﾏﾁ,秋田県,秋田市,卸町,0,0,1,0,0,0
05201,010  ,0100062,ｱｷﾀｹﾝ,ｱｷﾀｼ,ｳｼｼﾞﾏﾋｶﾞｼ,秋田県,秋田市,牛島東,0,0,1,0,0,0
05201,010  ,0100063,ｱｷﾀｹﾝ,ｱｷﾀｼ,ｳｼｼﾞﾏﾆｼ,秋田県,秋田市,牛島西,0,0,1,0,0,0
05201,010  ,0100064,ｱｷﾀｹﾝ,ｱｷﾀｼ,ｳｼｼﾞﾏ,秋田県,秋田市,牛島,0,1,0,0,0,0
05201,010  ,0100065,ｱｷﾀｹﾝ,ｱｷﾀｼ,ﾊﾞﾗｼﾞﾏ,秋田県,秋田市,茨島,0,0,1,0,0,0
05201,010  ,0100066,ｱｷﾀｹﾝ,ｱｷﾀｼ,ｳｼｼﾞﾏﾐﾅﾐ,秋田県,秋田市,牛島南,0,0,1,0,0,0
